"California (CCPA/CPRA) - Enforcement","Private Right of Action allowed (limited to security breaches). Agency: CPPA."
"California (CCPA/CPRA) - Sensitive Data","**Opt-Out** Rights ('Limit Use of Sensitive PI')."
"CCPA Vendor Contracts (2023)","Controllers MUST enter into contracts with *any* third party they share data with."
"Virginia (VCDPA) - Enforcement","Enforced SOLELY by the Attorney General (No private right of action)."
"Virginia (VCDPA) - Sensitive Data","**Opt-In** Consent required."
"Colorado (CPA) - Appeals","First state to require an internal appeals process for denied requests (45 days)."
"Colorado (CPA) - Functional Role","Fact-based: Processors acting like Controllers become Controllers."
"Connecticut (CTDPA)","Stronger privacy protections (Opt-In for sensitive data); Safe Harbor for punitive damages."
"Utah (UCPA) - Business Friendly","Narrower rights: No Profiling Opt-Out, No Right to Correct, Deletion limited to data provided by consumer."
"Utah (UCPA) - Sensitive Data","**Notice + Opt-Out** (Less strict than VA/CO/CT Opt-In)."
"Florida (FDBR)","Targeted at 'Big Tech' (High revenue threshold: $1B+)."
"Maryland (Unique Restriction)","Strictly **prohibits** sensitive data processing (no consent exception) with narrow exceptions."
"Processing Records Mandate","**California** and **Minnesota** require detailed records of ALL processing activities (GDPR-style)."
"Secondary Use Consent","Most states require Opt-In. Exceptions (No statutory opt-in): **CA, IA, RI, UT**."
"Cure Periods (Trends)","Many mandatory cure periods (e.g., CO/CT 60 days) had **sunset dates** and have now ended (discretionary)."
"Private Right of Action (State General Privacy)","Generally **NO** (except California for security breaches)."
