"Personal Jurisdiction","A court's authority over the person/entity being sued. Established by presence, residence, consent, or minimum contacts."
"Subject Matter Jurisdiction","A court's authority to hear specific types of disputes."
"General Jurisdiction","State courts have this power to hear almost any type of case."
"Limited Jurisdiction","Federal courts have this power to hear only specific types of cases (e.g., federal laws, diversity jurisdiction)."
"Exclusive Jurisdiction","When ONLY a specific court can hear a case (e.g., bankruptcy or copyright in federal court)."
"Removal Jurisdiction","A defendant's ability to move a case filed in state court to federal court (if federal jurisdiction exists)."
"Person (Legal Definition)","A legal entity that can sue, be sued, own property, and sign contracts. Includes humans and corporations."
"Preemption","Law from a higher authority (federal) overrides lower authority (state), per the Supremacy Clause."
"Private Right of Action (PRA)","The ability for individuals to directly sue for violations of a law (e.g., CCPA for data breaches, TCPA)."
"Lacks Private Right of Action","Laws enforced only by government agencies (e.g., HIPAA, GLBA, FERPA)."
"Civil Litigation (Standard of Proof)","Preponderance of the evidence (>50%)."
"Criminal Litigation (Standard of Proof)","Beyond a reasonable doubt (highest standard)."
"Civil Remedies","Money damages, injunctions, declaratory judgments."
"Criminal Punishment","Imprisonment, criminal fines."
"Negligence (4 Elements)","1. Duty of care<br>2. Breach of duty<br>3. Damages<br>4. Causation"
"Invasion of Privacy Torts (4 Types)","1. Invasion of solitude<br>2. Public disclosure of private facts<br>3. False light<br>4. Appropriation"
"Public disclosure of private facts","Disclosure of truthful, non-newsworthy info that would offend a reasonable person."
"False light","Disclosing info that causes a person to be falsely perceived by others (similar to defamation but broader)."
"Appropriation","Unauthorized use of someone's name or likeness."
"Analyzing a Law (4 Steps)","1. Scope (Who?)<br>2. Application (What data?)<br>3. Preemption<br>4. Enforcement"
"Affirmative Consent (Opt-In)","Processing is prohibited unless consumer says 'Yes'. (e.g., COPPA, HIPAA marketing)."
"Implied Consent (Opt-Out)","Processing is permitted unless consumer says 'No'. (e.g., GLBA sharing, CAN-SPAM)."
"Private Right of Action - Litigation Risk","High. Class actions can lead to massive aggregate liability."
"Government Enforcement Only - Litigation Risk","Moderate. Fines can be large but are less frequent than class actions."
