"Data Governance (Definition)","Programs identifying, tracking, and managing sensitive information to ensure consistent handling practices."
"Data Inventory","First step in management. Cataloging types/locations of sensitive info (PII, PHI, Financial, etc.)."
"Data Classification","Organizing data into categories (e.g., Confidential vs. Public) based on sensitivity and impact of unauthorized disclosure. Guides security controls."
"NIST SP 800-53","Guidance specifying controls for low, moderate, and high-impact information."
"Data Flow Mapping","Tracking how PI is received, handled, shared, and disposed of. Produces diagrams identifying privacy/regulatory concerns."
"Risk Categories (4 Types)","Legal, Reputational, Operational, and Investment risk."
"Privacy Assessment (Definition)","A comprehensive, holistic review of an organization's entire privacy risk profile."
"Privacy Impact Assessment (PIA)","Analysis of discrete products/services to ensure compliance and mitigate risks. Conducted *before* implementation."
"Privacy Threshold Analysis (PTA)","Also called 'initial privacy assessment'. A preliminary investigation to determine if a full PIA is required."
"PIA Legal Triggers (Federal)","E-Government Act of 2002 requires PIAs for federal agencies implementing programs collecting PI."
"Solove's Taxonomy of Privacy","Privacy Harms model based on four activities: Collection, Processing, Dissemination, and Invasions."
"Privacy Operational Life Cycle (4 Stages)","Assess, Protect, Sustain, Respond."
"Privacy Notice vs. Privacy Policy","**Policy:** Internal governance document.<br>**Notice:** External facing statement to consumers."
"Layered Notice","Short summary of key practices up front with links to a full detailed notice."
"Just-in-Time Notice","Focused info/consent prompts at the moment data is collected (e.g., in-app location popup)."
"Material Retroactive Changes","FTC expects express affirmative consent before applying material changes to previously collected data."
