"Employee Monitoring Policy (6 Key Components)","1. Purpose.<br>2. Scope.<br>3. Methods.<br>4. Records.<br>5. Use.<br>6. Disclosure."
"City of Ontario v. Quon (2010)","Supreme Court ruled a search of a police pager was reasonable (work-related purpose). Rejected 'least intrusive means' test for workplace searches."
"BYOD / COIT Privacy","Employees using personal devices have a **higher expectation of privacy** than on company-owned equipment."
"ECPA 'Business Purpose' Exception","Employers can monitor calls/emails if there is a legitimate business reason, but must stop if content is personal."
"ECPA Consent (Federal vs. State)","Federal: One-party consent.<br>Some states: All-party consent."
"Delaware Monitoring Notice","Requires both **prior written notice** AND **daily electronic notice** (e.g., login banner)."
"Connecticut Monitoring Notice","Requires **prior written notice** of monitoring types."
"Postal Mail Monitoring","Business can generally open ALL mail delivered to office, even if marked 'Private'."
"Misconduct Investigation (Fairness)","Must be evenhanded. Employers liable if investigator fails to conduct an effective investigation (EEOC 'Reasonable Care')."
"Misconduct Investigation Reports (FACTA Exclusion)","NOT consumer reports if: 1. Related to misconduct/compliance. 2. No credit info. 3. Limited sharing (implied no prior consent needed)."
"FMLA Confidentiality","DOL requires FMLA health info be kept in a **separate file** from the general personnel file."
"Workers' Compensation Confidentiality","Insurers/Agencies not HIPAA entities, but HIPAA allows providers to disclose PHI to them w/o authorization to comply with laws."
"Termination Procedures","1. Revoke access.<br>2. Request data deletion from personal devices.<br>3. Remind of confidentiality obligations."
"FACTA Disposal Rule (Employers)","Must take 'reasonable measures' to destroy background checks/credit reports in former employee files."
"Kansas 'Service Letter' Law","Must provide letter stating length of employment, job classification, and pay rate upon request."
"Defamation Risk (References)","Liability for false/damaging statements. Many employers use a **'Neutral Reference' Policy** (dates/title only)."
