"GeoCities (1999)","First FTC privacy enforcement action (Deceptive). Resold PI after promising not to."
"Eli Lilly & Co. (2002)","First FTC action mandating a comprehensive information privacy/security program. Triggered by accidental email leak of 600 users."
"DesignerWare","Rent-to-own company secretly installed spyware (Detective Mode) on computers to capture keystrokes/images. Deemed **Unfair** (intrusive monitoring)."
"LifeLock (Security)","Failed to implement strong security despite advertising claims. Violated prior consent decree -> $100M fine."
"Facebook (Deceptive)","Deceptive claims about user privacy control (allowing dev access despite 'friends only' settings). Violated prior decree -> $5B fine."
"TRUSTe","Deceptive certification. Failed to conduct required annual recertifications of clients while displaying Trust Mark."
"FTC v. Wyndham (2015)","3rd Circuit affirmed FTC Section 5 authority to regulate cybersecurity as 'Unfair'. Established 'fair notice'."
"LabMD v. FTC (2018)","11th Circuit vacated FTC order for being too vague. 'Reasonable security' is unenforceable; orders need concrete directives."
"Uber (2017)","Failed to use Multi-Factor Authentication (MFA) and stored unencrypted geolocation data in cloud."
"Lenovo (2017)","Pre-installed 'man-in-the-middle' adware (Superfish) that compromised browser encryption."
"PayPal / Venmo (2018)","Falsely claimed 'bank-grade security' without a written security program. Deceptive."
"VTech Electronics (2018)","First child privacy case against an IoT maker. Failed to encrypt data/implement intrusion detection."
"Equifax (2019)","Massive breach ($575M settlement). Failed to patch known vulnerabilities and segment servers."
"Tapplock (2020)","Smart lock maker falsely claimed to be 'unbreakable'. API vulnerabilities allowed bypass."
"SkyMed (2020)","Exposed health data in unsecured cloud; displayed fake 'HIPAA Compliance' seal."
"Ascension Data & Analytics (2020)","Violated GLBA Safeguards Rule by failing to oversee a vendor (Vendor Oversight)."
"Everalbum (2021)","First application of **Algorithmic Disgorgement**. Required deletion of facial recognition models trained on improperly obtained data."
