"Information Privacy","The claim of individuals to determine for themselves when, how, and to what extent information about them is communicated to others. Examples: Financial data, medical records."
"Bodily Privacy","The protection of a person's physical being against invasive procedures. Examples: Genetic testing, drug testing, body cavity searches."
"Communication Privacy","The security and privacy of mail, telephones, email, and other forms of communication. Examples: Wiretapping, opening mail."
"Territorial Privacy","Limits on intrusion into domestic and other environments (the 'right to be left alone'). Examples: Home searches, workplace monitoring."
"Identified Individual","Someone who can be ascertained with certainty (e.g., via Social Security Number)."
"Identifiable Individual","Someone who can be indirectly identified through a combination of factors (e.g., combining a city, street address, and gender)."
"Sensitive Personal Information (Restrictions)","Some laws only regulate specific subsets of sensitive data. Examples: HIPAA (health records), FCRA (medical records in credit reports)."
"Privacy-Enhancing Technologies (PETs)","Technologies whose purpose is privacy. Often led by privacy engineers focusing on 'freedom from conditions' that create problems during data processing."
"Strong Identifiers","Data that is identifying without additional context. Examples: SSN, Passport #."
"Weak Identifiers","General data belonging to multiple people, needed in combination for identification. Examples: Height, home address."
"Suppression (Anonymization)","Removing identifying information or values from a data set."
"Generalization (Anonymization)","Reducing granularity by replacing specific info with more general elements (e.g., removing a house number from an address)."
"Differential Privacy","A mathematical framework that introduces 'noise' to provide a guarantee of indistinguishability and 'plausible deniability' for individuals in a dataset."
"Data Subject","The individual whose information is being processed."
"Data Controller","The entity that decides how and why data is processed (has the ultimate authority)."
"Data Processor","The entity that processes data on behalf of the controller. Can only do what the controller authorizes."
"FIPs / FIPPs (Definition)","Fair Information Practices. Principles guiding data collection, storage, and management for fairness, privacy, and security."
"1973 HEW Report","First US articulation of FIPs. Five principles: No secret records, Individual access, Limit secondary use, Correction rights, Data reliability."
"Privacy Act of 1974","Codified FIPs for federal agencies."
"2012 FTC Report (Three Concepts)","1. Privacy by Design2. Simplified Consumer Choice (e.g., Do-Not-Track)3. Transparency"
"OECD Guidelines (1980)","Eight principles: Collection Limitation, Data Quality, Purpose Specification, Use Limitation, Security Safeguards, Openness, Individual Participation, Accountability."
"Accountability Principle","Dictates that organizations must take responsibility for protecting personal information and be able to *demonstrate* that compliance to stakeholders."
"Responsibility for Compliance","The ultimate responsibility lies with the organization (data controller), *not* government regulatory authorities."
