"Data Subject","The individual whose information is being processed."
"Data Controller","The entity that decides how and why data is processed (has the ultimate authority)."
"Data Processor","The entity that processes data on behalf of the controller. Can only do what the controller authorizes."
"Data Processor Synonyms","Business Associate (HIPAA), Service Provider (GLBA)."
"Processing (Definition)","Any operation performed on data (collection, storage, deletion, etc.)."
"FIPs / FIPPs","Fair Information Practices. Principles guiding data management for fairness, privacy, and security. Foundation for regulations but often not binding themselves."
"1973 HEW Report (Significance)","First US articulation of FIPs. Established 5 principles: No secret records, Individual access, Limit secondary use, Correction rights, Data reliability."
"Privacy Act of 1974","Codified FIPs for federal agencies (not the private sector)."
"2012 FTC Report (Three Key Areas)","1. Privacy by Design<br>2. Simplified Consumer Choice (e.g., Do-Not-Track)<br>3. Transparency"
"OECD Guidelines (1980)","Eight principles including Collection Limitation, Data Quality, Purpose Specification, Use Limitation, Security Safeguards, Openness, Individual Participation, and Accountability."
"Council of Europe Convention 108 (1981)","First binding international agreement requiring FIPs in domestic law."
"Accountability Principle","Organizations must take responsibility for protecting PI and be able to *demonstrate* compliance (via documentation, training, etc.)."
"Responsibility for Compliance","Ultimatley lies with the Data Controller, NOT the regulator."
"Demonstrating Compliance","Requires documentation (e.g., recording training attendance) to prove measures are in place."
