"Right to Financial Privacy Act (RFPA) Scope","Regulates federal government access to financial records of individuals/partnerships of **5 or fewer** (corporations excluded)."
"RFPA Access Methods (5 Types)","Customer Authorization, Administrative Subpoena (10/14 day quash), Judicial Subpoena, Search Warrant (90 day delay), Formal Written Request."
"Bank Secrecy Act (Regulator)","FinCEN (Financial Crimes Enforcement Network)."
"Currency Transaction Report (CTR)","Must report currency transactions > $10,000."
"Suspicious Activity Report (SAR) Thresholds","Insider (Any amount), Criminal >$5k (identified), Criminal >$25k (unidentified), Suspicious >$5k (laundering)."
"SAR Confidentiality","Strictly prohibited from notifying the customer that a SAR has been filed."
"USA PATRIOT Act (KYC/CIP)","Requires Customer Identification Programs (Verify Name, DoB, Address, ID)."
"Wiretap Act (Title I ECPA)","Prohibits unauthorized interception of 'real-time' communications (Wire, Oral, Electronic)."
"Wiretap Act 'Super-Warrant' (4 Hurdles)","1. Predicate Crime.<br>2. Particularity.<br>3. Necessity (failed normal methods).<br>4. Minimization."
"Wiretap Consent","Federal: One-party consent.<br>Some States (CA/MA): Two-party (all-party) consent."
"Stored Communications Act (Title II ECPA)","Regulates access to stored electronic communications (ECS) and remote computing services (RCS)."
"SCA Government Access Standard (Content)","<= 180 days: **Search Warrant**.<br>Metadata: **2703(d) Court Order** ('specific and articulable facts')."
"SCA Voluntary Disclosure","Providers generally PROHIBITED from disclosing content, but PERMITTED to disclose non-content (metadata)."
"Pen Register (Title III ECPA)","Records **outgoing** numbers (dialing info)."
"Trap and Trace (Title III ECPA)","Records **incoming** numbers (origin of call)."
"Pen/Trap Legal Standard","Certification of 'relevance to an ongoing criminal investigation' (Judge MUST issue order). No probable cause needed."
"CLOUD Act","Compels U.S. companies to provide data stored on servers regardless of physical location (overseas)."
"CALEA (Digital Telephony Bill)","Requires telecom carriers (and broadband ISPs/VoIP) to design systems with 'baked-in' surveillance capabilities."
"Keith Case (US v. US District Court)","Held that 4th Amendment Warrant requirement applies to domestic national security threats. Precursor to FISA."
"FISA Court (FISC) Structure","11 federal judges appointed by Chief Justice for non-renewable 7-year terms."
"FISA Standard (Patriot Act Change)","Foreign intelligence need only be a **'significant purpose'** (not primary)."
"FISA Section 702","Authorizes mass surveillance of **non-U.S. persons located abroad** (PRISM/Upstream)."
