"Termination Procedures (Immediate Steps)","Revoke physical access (keys/badges) and digital access (network/email) immediately."
"Termination (BYOD/Remote Data)","Since physical return is impossible, require written confirmation of data deletion from personal devices."
"Continuing Obligations","Remind departing employee of ongoing confidentiality duties (Trade Secrets/IP)."
"Records Retention (Personnel Files)","Must follow statutory schedules for reviews, disciplinary records, medical info to comply with laws/e-discovery."
"FACTA Disposal Rule (Post-Employment)","Applies to background/credit reports in former employee files. Requires 'reasonable measures' to destroy (burn/shred/erase)."
"Employee References (Federal Law)","No federal requirement to provide references."
"Service Letter Acts (State Law)","Some states require providing a reference letter upon request."
"Kansas Service Letter Requirements","Must state: 1. Length of employment. 2. Job classification. 3. Pay rate."
"Defamation (References)","Liability for making false, damaging statements about a former employee (libel/slander)."
"Qualified Privilege (References)","Legal protection for employers giving honest references without malice."
"Neutral Reference Policy","Common practice to mitigate defamation risk. Confirm ONLY: Dates of employment and Job Title."
