"Sources of Law (Constitutional Law)","The highest possible source of law; no other law may conflict with it. Includes the Constitution and Supreme Court decisions interpreting it."
"Supremacy Clause (Article VI)","Establishes the Constitution as the supreme law of the land. State laws that conflict with federal law are preempted."
"Privacy Protections (Constitutional)","Derived from the 3rd (quartering soldiers), 4th (search & seizure), 5th (self-incrimination), and 14th (due process/liberty) Amendments."
"Penumbra Theory","Rights derived by implication from other explicitly protected rights. From *Griswold v. Connecticut* (1965), establishing 'zones of privacy' from the 1st, 3rd, 4th, 5th, and 9th Amendments."
"Sources of Law (Legislation/Statutes)","Laws passed by Congress (federal) or state legislatures. Federal laws are compiled in the *U.S. Code*."
"Preemption (Express)","The federal law specifically states it overrides state law (e.g., CAN-SPAM expressly preempts most state anti-spam laws)."
"Preemption (Implied)","Courts determine that Congress intended to preempt state law even if not explicitly stated."
"10th Amendment (Privacy Context)","Powers not delegated to the federal government are reserved to the States, allowing for state-level privacy laws (like CCPA) where federal law is silent."
"Sources of Law (Administrative Law)","Rules and regulations created by executive branch agencies (e.g., FTC, HHS) to implement statutes."
"Administrative Law (Formal vs. Informal)","**Formal:** Legally binding rules (e.g., HIPAA Privacy Rule). **Informal:** Guidance, reports, and workshops that interpret law but are not strictly binding."
"Administrative Enforcement Actions","Litigated before an Administrative Law Judge (ALJ). Governed by the **Administrative Procedure Act (APA)**."
"Sources of Law (Common Law)","Legal principles developed over time through judicial decisions rather than statutes."
"Stare Decisis","'To stand by things decided.' The principle that courts should follow prior precedent to keep the law stable."
"Common Law Torts (Privacy)","Civil wrongs like negligence or invasion of privacy often stem from common law."
