"State Data Breach Laws (Timelines)","General rule: 'Without unreasonable delay' (30-60 days).<br>**Puerto Rico:** Stricter (10 days to agency, 24 hours public)."
"California SB 1386 (First Breach Law)","Enacted in 2003. First to require notification. Triggered by acquiring unencrypted PI (or encrypted PI + Key)."
"Substitute Notice (CA)","Allowed if cost > $250k OR affected > 500k people."
"Alabama & South Dakota (Last States)","Enacted in 2018, completing 50-state map."
"Breach Definition (Access vs. Acquisition)","**Acquisition:** Higher threshold (favors business).<br>**Access:** Lower threshold (favors consumer)."
"Georgia Breach Law Exception","Uniquely applies ONLY to **Information Brokers** and **Government Agencies** (not standard businesses)."
"Pennsylvania Notification Trigger","Timeline begins upon **Determination** (verification) not just **Discovery** (suspicion)."
"Texas Provision","Requires notifying residents of ANY state that lacks its own law."
"Massachusetts Notice Prohibition","Strictly PROHIBITS describing the nature of the breach or number of affected in the consumer notice (to prevent social engineering)."
"Tennessee/Illinois Encryption Key Rule","Must notify even for encrypted data if the **key** was also compromised."
"State Cybersecurity Safe Harbors (OH, UT, CT, IA)","Provide affirmative defense against torts if security program conforms to industry frameworks (NIST, ISO)."
"California (CCPA/CPRA) - Enforcement","Private Right of Action for security breaches. Agency: California Privacy Protection Agency (CPPA)."
"Virginia (VCDPA) - Enforcement","Enforced SOLELY by the Attorney General (No private right of action)."
"Colorado (CPA) - Appeals","First state to require an internal appeals process for denied requests (decision w/in 45 days)."
"Utah (UCPA) - Rights Limitations","1. Delete (only data provided by consumer).<br>2. No Profiling Opt-Out.<br>3. No Right to Correct."
"SEC Disclosure Rule (Public Companies)","Must disclose material cybersecurity incidents within **4 days**."
