"Title VII of Civil Rights Act (1964) Scope","Prohibits discrimination based on **race, color, religion, national origin, or sex**."
"Disparate Treatment (Definition)","Intentional discrimination against an individual based on a protected trait."
"Disparate Impact (Definition)","A policy that is facially neutral (unintentional) but falls more harshly on a protected group (e.g., strength test excluding women)."
"Age Discrimination in Employment Act (ADEA)","Prohibits discrimination against applicants and employees who are **40 years of age or older**."
"Pregnancy Discrimination Act (PDA)","Amends Title VII. Prohibits discrimination based on pregnancy, childbirth, or related medical conditions."
"Equal Pay Act of 1963","Prohibits wage disparity based on **sex** for equal work performed under similar conditions."
"Bankruptcy Act (Employment Protection)","Prohibits employers from firing or discriminating against an employee **solely** because they have filed for bankruptcy."
"Americans with Disabilities Act (ADA) Scope","Prohibits discrimination against qualified individuals who can perform essential functions with **reasonable accommodation**."
"ADA 'Undue Hardship'","Employers are not required to provide accommodations that cause significant difficulty or expense."
"ADA Medical Exams (Pre-Offer)","Strictly **Prohibited**."
"ADA Medical Exams (Post-Offer)","Permitted if required for all employees in that category and results are kept in **separate, confidential files**."
"GINA (Employment Protections)","Prohibits using genetic info (including family medical history) for hiring, firing, or promotion."
"GINA (Health Insurance)","Prohibits health plans from using genetic info for **underwriting** or discriminating based on **predisposition** to disease."
"GINA (Genetic Testing)","Insurers are prohibited from requiring individuals to undergo genetic tests (except for voluntary research)."
"EEOC 'Right to Sue'","A private lawsuit can ONLY be filed after the EEOC process is exhausted and the agency issues a **Right to Sue letter**."
